Level 2 category,Economic score rank,Economic score,"Economic score × 1,000",Immediate effect (β0),Cumulative effect (β),Import value share,Import value share (%),Main lag (months),Joint-test p-value,Adjusted R²
"Mineral fuels, lubricants and related materials",1,0.010340466498402003,10.340466498402003,0.007508029819140083,0.034781691062081226,0.29729625508850294,29.729625508850294,4,0.040110970928549844,0.3157583011711619
Unprocessed cereals,2,0.001849044005192987,1.849044005192987,0.008594648761737801,0.02946741331347336,0.06274877219533723,6.274877219533723,0,0.06304713388586308,0.2274587798542954
Refined petroleum products,3,0.0005988631512008638,0.5988631512008639,-0.003340949541241708,0.015417025455104254,0.03884427336160315,3.8844273361603148,4,0.02134658775328316,0.23123025469989478
Animal oils and fats,4,0.0004770492944440242,0.47704929444402416,0.004595050452912545,0.009208488100774626,0.05180538751023574,5.180538751023573,5,0.0006767162060036184,0.17596277733492005
Meat and meat preparations,5,0.0003613517514183955,0.3613517514183955,-0.008565192032397483,0.04116291852209271,0.008778574610166501,0.8778574610166502,5,0.009638748041860106,0.20877369442633897
Organic chemicals,6,0.00026270150636550465,0.26270150636550466,0.0001549313881268504,0.01687871817285727,0.015564067346533218,1.5564067346533217,4,0.02019673553160998,0.3057607016816597
Milk and dairy products,7,0.00024899161782392955,0.24899161782392956,-0.006737481693151981,0.012916021715497997,0.019277732982220314,1.9277732982220315,5,0.005236067348487656,0.2726044063305133
"Iron, cast iron and steel",8,0.00024013926151010545,0.24013926151010545,0.0009398862782782065,0.02066434704765963,0.011620946016646714,1.1620946016646714,1,4.579820569057609e-05,0.27549178606937397
Sugar and confectionery,9,0.00022374299913816698,0.22374299913816698,0.002265514867894622,0.0037724591536023454,0.05930958826274192,5.930958826274193,3,0.00012224964361838523,0.22778794590417928
Plastics and plastic products,10,0.0001789881368745027,0.17898813687450268,0.006960545056719416,0.026521264228328525,0.006748853875650378,0.6748853875650378,0,0.04184882949908662,0.17999154415527796
