Level 2 category,k,nb_observations,Immediate effect (β0),Cumulative effect (β),Main lag (months),Joint-test p-value,Adjusted R²,valeur_import,Import value share,rang_importance,Economic score,statut_selection,Economic score rank
"Mineral fuels, lubricants and related materials",6,62,0.007508029819140083,0.034781691062081226,4,0.040110970928549844,0.3157583011711619,278153877201.78,0.29729625508850294,1,0.010340466498402003,selectionnee,1
Unprocessed cereals,6,62,0.008594648761737801,0.02946741331347336,0,0.06304713388586308,0.2274587798542954,58708490191.336,0.06274877219533723,2,0.001849044005192987,selectionnee,2
Refined petroleum products,6,62,-0.003340949541241708,0.015417025455104254,4,0.02134658775328316,0.23123025469989478,36343159584.702,0.03884427336160315,8,0.0005988631512008638,selectionnee,3
Animal oils and fats,6,62,0.004595050452912545,0.009208488100774626,5,0.0006767162060036184,0.17596277733492005,48469730611.383,0.05180538751023574,5,0.0004770492944440242,selectionnee,4
Meat and meat preparations,6,62,-0.008565192032397483,0.04116291852209271,5,0.009638748041860106,0.20877369442633897,8213337781.184,0.008778574610166501,21,0.0003613517514183955,selectionnee,5
Organic chemicals,6,62,0.0001549313881268504,0.01687871817285727,4,0.02019673553160998,0.3057607016816597,14561924690.841,0.015564067346533218,15,0.00026270150636550465,selectionnee,6
Milk and dairy products,6,62,-0.006737481693151981,0.012916021715497997,5,0.005236067348487656,0.2726044063305133,18036473991.47,0.019277732982220314,13,0.00024899161782392955,selectionnee,7
"Iron, cast iron and steel",6,62,0.0009398862782782065,0.02066434704765963,1,4.579820569057609e-05,0.27549178606937397,10872693940.664,0.011620946016646714,17,0.00024013926151010545,selectionnee,8
Sugar and confectionery,6,62,0.002265514867894622,0.0037724591536023454,3,0.00012224964361838523,0.22778794590417928,55490749204.398,0.05930958826274192,4,0.00022374299913816698,selectionnee,9
Plastics and plastic products,6,62,0.006960545056719416,0.026521264228328525,0,0.04184882949908662,0.17999154415527796,6314307160.114,0.006748853875650378,25,0.0001789881368745027,selectionnee,10
